addServerStatsToSnooper,func_70000_a
addServerTypeToSnooper,func_70001_b
isSnooperEnabled,func_70002_Q
canCommandSenderUseCommand,func_70003_b
getCommandSenderName,func_70005_c_
resetLog,func_70007_b
getLogContents,func_70008_c
getDistance,func_70011_f
setLocationAndAngles,func_70012_b
getBrightness,func_70013_c
writeEntityToNBT,func_70014_b
setFire,func_70015_d
setVelocity,func_70016_h
setBeenAttacked,func_70018_K
setEating,func_70019_c
readFromNBT,func_70020_e
getParts,func_70021_al
getEntityString,func_70022_Q
addVelocity,func_70024_g
isWet,func_70026_G
isBurning,func_70027_ad
isEntityEqual,func_70028_i
setWorld,func_70029_a
onEntityUpdate,func_70030_z
setSprinting,func_70031_b
getDistanceToEntity,func_70032_d
getYOffset,func_70033_W
setRotationYawHead,func_70034_d
getLastActiveItems,func_70035_c
readEntityFromNBT,func_70037_a
isOffsetPositionInLiquid,func_70038_c
writeToNBTOptional,func_70039_c
getLookVec,func_70040_Z
canTriggerWalking,func_70041_e_
getMountedYOffset,func_70042_X
updateRiderPosition,func_70043_V
setOnFireFromLava,func_70044_A
isImmuneToFire,func_70045_F
getBoundingBox,func_70046_E
getEyeHeight,func_70047_e
newFloatNBTList,func_70049_a
setAir,func_70050_g
isSprinting,func_70051_ag
setFlag,func_70052_a
getShadowSize,func_70053_R
isInsideOfMaterial,func_70055_a
setPositionAndRotation2,func_70056_a
performHurtAnimation,func_70057_ab
handleLavaMovement,func_70058_J
moveFlying,func_70060_a
setCurrentItemOrArmor,func_70062_b
setInPortal,func_70063_aa
updateFallState,func_70064_a
preparePlayerToSpawn,func_70065_x
extinguish,func_70066_B
canBeCollidedWith,func_70067_L
getDistanceSqToEntity,func_70068_e
fall,func_70069_a
getBrightnessForRender,func_70070_b
onUpdate,func_70071_h_
handleWaterMovement,func_70072_I
onKillEntity,func_70074_a
canAttackWithItem,func_70075_an
kill,func_70076_C
onStruckByLightning,func_70077_a
mountEntity,func_70078_a
getRotationYawHead,func_70079_am
setPositionAndRotation,func_70080_a
dealFireDamage,func_70081_e
setAngles,func_70082_c
getFlag,func_70083_f
addToPlayerScore,func_70084_c
interact,func_70085_c
getAir,func_70086_ai
newDoubleNBTList,func_70087_a
entityInit,func_70088_a
isEntityAlive,func_70089_S
isInWater,func_70090_H
moveEntity,func_70091_d
getDistanceSq,func_70092_e
isSneaking,func_70093_af
isEntityInsideOpaqueBlock,func_70094_T
setSneaking,func_70095_a
getDataWatcher,func_70096_w
attackEntityFrom,func_70097_a
updateRidden,func_70098_U
entityDropItem,func_70099_a
onCollideWithPlayer,func_70100_b_
setRotation,func_70101_b
handleHealthUpdate,func_70103_a
canBePushed,func_70104_M
setSize,func_70105_a
setDead,func_70106_y
setPosition,func_70107_b
applyEntityCollision,func_70108_f
writeToNBT,func_70109_d
setInWeb,func_70110_aj
getCollisionBorderSize,func_70111_Y
isInRangeToRenderDist,func_70112_a
isEating,func_70113_ah
getCollisionBox,func_70114_g
isRiding,func_70115_ae
onImpact,func_70184_a
getGravityVelocity,func_70185_h
setThrowableHeading,func_70186_c
getPotionDamage,func_70196_i
moveTowards,func_70220_a
onImpact,func_70227_a
setDamage,func_70239_b
setKnockbackStrength,func_70240_a
getIsCritical,func_70241_g
getDamage,func_70242_d
setIsCritical,func_70243_d
setTimeSinceHit,func_70265_b
setDamageTaken,func_70266_a
getForwardDirection,func_70267_i
getTimeSinceHit,func_70268_h
setForwardDirection,func_70269_c
setIsBoatEmpty,func_70270_d
getDamageTaken,func_70271_g
setAgeToCreativeDespawnTime,func_70288_d
combineItems,func_70289_a
openInventory,func_70295_k_
markDirty,func_70296_d
getInventoryStackLimit,func_70297_j_
decrStackSize,func_70298_a
setInventorySlotContents,func_70299_a
isUseableByPlayer,func_70300_a
getStackInSlot,func_70301_a
getSizeInventory,func_70302_i_
getStackInSlotOnClosing,func_70304_b
closeInventory,func_70305_f
decrementAnimations,func_70429_k
getTotalArmorValue,func_70430_l
hasItemStack,func_70431_c
storeItemStack,func_70432_d
dropAllItems,func_70436_m
setItemStack,func_70437_b
armorItemInSlot,func_70440_f
addItemStackToInventory,func_70441_a
writeToNBT,func_70442_a
readFromNBT,func_70443_b
getItemStack,func_70445_o
getFirstEmptyStack,func_70447_i
getCurrentItem,func_70448_g
damageArmor,func_70449_g
getHotbarSize,func_70451_h
storePartialItemStack,func_70452_e
changeCurrentItem,func_70453_c
copyInventory,func_70455_b
getStackInRowAndColumn,func_70463_b
getCurrentRecipe,func_70468_h
inventoryResetNeededOnSlotChange,func_70469_d
resetRecipeAndSlots,func_70470_g
setCurrentRecipeIndex,func_70471_c
loadInventoryFromNBT,func_70486_a
saveInventoryToNBT,func_70487_g
getDamage,func_70491_i
setDamage,func_70492_c
getRollingDirection,func_70493_k
setRollingDirection,func_70494_i
getRollingAmplitude,func_70496_j
setRollingAmplitude,func_70497_h
explode,func_70515_d
onValidSurface,func_70518_d
getXpValue,func_70526_d
getXPSplit,func_70527_a
getTextureByXP,func_70528_g
getRedColorF,func_70534_d
getBlueColorF,func_70535_g
setParticleTextureIndex,func_70536_a
getFXLayer,func_70537_b
setRBGColorF,func_70538_b
renderParticle,func_70539_a
multipleParticleScaleBy,func_70541_f
